,Unnamed: 0,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
749,100,1,2,2,5,4,82,82,13,18,15,14282,14,90014282,90001167,90000992,1,0,3,0,1,1,6,0,1031,0,1167,0,0,339,260,0,0,0,0,0,1,178,1,2018,1,11,3,986727,5,992,529,1,0,0,0,1
750,101,0,12,5,37,0,85,85,21,15,18,14282,14,90014282,90000992,90001167,0,1,2,1,0,0,5,0,1115,5,992,1,0,508,436,0,0,0,0,0,0,178,0,2018,1,24,3,986728,18,1167,711,0,0,1,1,0
751,102,2,1,5,12,0,99,99,19,29,11,14994,14,90014994,90000927,90000925,0,2,3,0,0,2,11,0,1024,3,927,2,0,325,235,1,0,0,0,0,1,208,2,2018,1,11,5,986774,12,925,521,2,0,1,2,2
752,103,1,6,5,34,0,92,92,7,10,27,14994,14,90014994,90000925,90000927,0,2,3,0,0,2,16,0,1115,2,925,2,0,616,548,0,0,1,0,0,0,208,2,2018,1,23,6,986775,4,927,821,3,0,1,2,2
753,104,0,9,6,51,0,89,89,18,16,14,14437,14,90014437,90000697,90000696,0,1,0,1,0,0,15,0,1115,3,697,1,0,670,571,0,0,0,0,0,0,223,0,2018,1,27,5,986812,5,696,902,2,0,1,1,0
754,105,1,0,2,6,3,77,77,11,13,18,14437,14,90014437,90000696,90000697,1,0,5,0,1,1,15,0,1070,1,696,0,0,320,208,0,0,0,0,0,1,223,1,2018,1,6,1,986813,6,697,506,1,0,0,0,1
755,106,1,3,10,23,0,88,88,11,15,19,13666,14,90013666,90000656,90000660,0,3,3,0,0,2,21,0,1115,1,656,3,0,571,441,0,0,0,0,0,0,187,2,2018,1,15,7,986849,7,660,830,4,0,1,3,2
756,107,2,5,6,27,0,152,152,21,18,15,13666,14,90013666,90000660,90000656,0,2,5,0,1,3,30,0,1115,1,660,2,0,333,215,0,0,0,0,0,0,187,3,2018,1,19,6,986850,22,656,593,1,0,1,2,3
757,108,1,4,5,20,4,142,142,26,16,7,14438,14,90014438,90000702,90000698,1,0,6,0,1,1,24,0,1115,3,702,0,0,376,235,0,0,0,0,0,0,223,1,2018,1,12,5,986887,27,698,663,0,0,0,0,1
758,109,0,6,7,32,0,88,88,17,7,16,14438,13,90014438,90000698,90000702,0,1,4,1,0,0,15,0,1115,0,698,1,0,625,498,0,0,0,0,0,0,223,0,2018,1,23,6,986888,19,702,943,0,0,1,1,0
759,0,0,4,13,37,0,87,87,16,15,18,14336,14,90014336,90001232,90001181,0,2,5,0,0,0,13,0,1115,2,1232,2,0,476,380,0,0,0,0,0,0,217,0,2018,3,18,9,982054,15,1181,696,2,0,1,2,0
760,1,2,3,5,18,4,143,143,17,15,15,14336,14,90014336,90001181,90001232,1,0,9,0,1,2,18,0,1115,7,1181,0,0,342,251,0,0,0,0,0,0,217,2,2018,3,14,9,982055,13,1232,566,2,0,0,0,2
761,2,0,0,1,11,3,87,87,21,29,13,14344,14,90014344,90000645,90000933,1,0,3,0,0,0,11,0,1053,1,645,0,0,370,282,0,0,0,0,0,1,217,0,2018,3,11,3,982092,19,933,581,1,0,0,0,0
762,3,0,4,9,34,4,76,76,0,13,29,14344,14,90014344,90000933,90000645,1,0,3,0,0,0,18,0,1105,0,933,0,0,408,324,0,0,0,0,0,0,217,0,2018,3,15,3,982093,7,645,617,5,1,0,0,0
763,4,0,3,7,19,0,55,55,17,16,18,12360,12,90012360,90000981,90000978,0,1,4,1,0,0,10,0,1115,6,981,1,0,618,499,0,0,0,0,0,0,183,0,2018,1,10,3,982380,11,978,837,2,0,1,1,0
764,5,1,5,1,15,3,98,98,18,16,19,12360,14,90012360,90000978,90000981,1,0,1,0,1,1,12,0,1115,2,978,0,0,414,296,0,0,0,0,0,0,183,1,2018,1,14,5,982381,12,981,624,1,0,0,0,1
