,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
746,746,4,1,4,5,13,4,86,9,10,18,698,18,90000698,90000521,90000515,1,0,1,0,1,1,14,0,1115,2,521,0,0,538,426,0,0,0,0,0,0,1,0,2016,1,9,3,541,16,515,0,4,0,0,0,1
747,747,5,0,2,3,19,0,60,21,16,9,698,16,90000698,90000515,90000521,0,1,2,1,0,0,14,0,1088,3,515,0,0,454,331,0,0,0,0,0,0,1,0,2016,1,7,1,542,18,521,0,2,0,1,1,0
748,748,0,0,3,2,13,0,71,15,13,13,690,18,90000690,90000517,90000524,0,0,1,1,0,0,32,0,1115,2,517,0,1,548,440,0,0,0,0,0,0,1,1,2016,1,10,4,262,28,524,0,3,0,0,0,0
749,749,1,0,4,1,11,3,87,17,13,13,690,18,90000690,90000524,90000517,1,0,4,0,1,0,21,0,1115,1,524,0,0,548,451,0,0,0,0,0,0,1,1,2016,1,10,1,263,23,517,0,2,0,0,0,0
750,750,2,1,3,2,14,0,100,14,7,14,691,18,90000691,90000513,90000525,0,2,3,0,0,2,41,0,1115,1,513,0,0,322,225,0,0,0,0,0,0,1,2,2016,1,12,5,292,21,525,0,2,0,1,2,2
751,751,3,2,2,9,34,0,110,23,14,7,691,17,90000691,90000525,90000513,0,2,3,0,0,2,12,0,1115,4,525,0,0,628,508,0,0,0,0,0,0,1,2,2016,1,11,5,293,13,513,0,1,0,1,2,2
752,752,4,3,2,4,20,0,129,18,15,22,692,18,90000692,90000519,90000512,0,1,4,1,1,3,13,0,1115,2,519,0,0,306,225,0,0,0,0,0,0,1,1,2016,1,12,7,320,15,512,0,0,0,1,1,3
753,753,5,1,1,1,19,0,84,20,16,12,692,16,90000692,90000512,90000519,0,3,4,0,0,1,7,0,1003,4,512,0,0,489,409,0,0,0,0,0,0,1,1,2016,1,14,5,321,16,519,0,1,0,1,3,1
754,754,6,1,2,3,16,0,76,6,10,19,693,16,90000693,90000514,90000522,0,4,4,0,0,2,12,0,1014,1,514,0,0,446,348,0,0,0,0,0,0,1,4,2016,1,11,5,346,18,522,0,4,0,1,3,2
755,755,7,1,4,6,25,0,146,19,18,14,693,17,90000693,90000522,90000514,0,2,3,0,1,4,20,0,1116,0,522,0,0,385,281,0,0,1,0,0,0,1,4,2016,1,22,9,347,18,514,0,2,0,1,2,3
756,756,8,1,2,3,16,3,106,13,14,14,694,16,90000694,90000508,90000510,1,0,2,0,1,1,31,0,1115,0,508,0,0,440,349,0,0,0,0,0,0,1,0,2016,1,7,3,375,22,510,0,4,0,0,0,1
757,757,9,0,2,6,29,0,60,14,13,14,694,17,90000694,90000510,90000508,0,1,2,1,0,0,16,0,1074,0,510,0,0,599,509,0,0,0,0,0,0,1,0,2016,1,12,2,376,12,508,0,3,0,1,1,0
758,758,10,0,5,9,21,0,101,15,16,18,695,18,90000695,90000511,90000523,0,2,2,0,0,2,13,0,1115,4,511,0,1,449,362,0,0,1,0,0,0,1,2,2016,1,19,11,404,22,523,0,3,0,1,2,2
759,759,11,0,3,4,25,0,77,14,16,16,695,17,90000695,90000523,90000511,0,4,7,0,0,1,14,0,1115,2,523,0,0,488,391,0,0,0,0,0,1,1,2,2016,1,12,3,405,13,511,0,1,0,1,3,1
