,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
168,168,16,0,6,5,24,0,59,59,13,10,18,5667,13,90005667,90000857,90000521,0,1,2,1,0,0,23,0,1115,3,857,0,453,307,0,0,0,0,0,0,73,0,2017,1,16,2,460030,10,521,685,2,0,1,1,0
169,169,17,1,3,3,16,4,99,99,18,16,10,5667,14,90005667,90000521,90000857,1,0,2,0,1,1,27,0,1115,4,521,0,415,275,0,0,0,0,0,0,73,1,2017,1,7,3,460031,7,857,650,3,0,0,0,1
170,170,18,0,5,6,34,0,58,58,11,12,16,5668,14,90005668,90000525,90000526,0,2,0,0,0,0,13,0,1115,0,525,0,379,291,0,0,0,0,0,0,73,0,2017,1,19,2,460067,11,526,574,4,0,1,2,0
171,171,19,2,4,5,19,3,112,112,16,15,12,5668,14,90005668,90000526,90000525,1,0,2,0,1,2,6,0,1086,1,526,0,493,417,0,0,0,0,0,0,73,2,2017,1,10,2,460068,15,525,702,2,1,0,0,2
172,172,20,1,5,5,10,0,61,61,3,11,20,5670,13,90005670,90000517,90000513,0,1,2,1,0,1,12,1,1114,3,517,0,423,323,1,0,0,0,0,1,73,1,2017,1,13,4,460105,18,513,636,4,0,1,1,1
173,173,21,0,7,6,34,0,109,109,23,18,11,5670,14,90005670,90000513,90000517,0,1,3,1,0,1,22,0,1115,3,513,0,654,559,0,0,1,0,0,0,73,1,2017,1,20,3,460106,21,517,902,1,0,1,1,1
174,174,30,0,3,3,15,4,69,69,11,10,18,5655,13,90005655,90000523,90000973,1,0,3,0,0,0,16,0,1115,0,523,0,405,291,0,0,0,0,0,0,73,0,2017,1,9,1,457797,16,973,624,3,0,0,0,0
175,175,31,0,6,12,51,4,100,100,20,15,10,5655,11,90005655,90000973,90000523,1,0,1,0,0,0,9,0,1115,1,973,0,468,374,0,0,0,0,0,0,73,0,2017,1,16,3,457798,7,523,688,2,0,0,0,0
176,176,60,2,3,9,21,0,100,100,13,7,16,5656,13,90005656,90000509,90000516,0,2,1,0,0,2,23,0,1115,7,509,0,574,447,0,0,0,0,0,0,73,2,2017,1,15,5,458426,21,516,803,2,0,1,2,2
177,177,61,2,0,3,14,0,101,101,18,15,9,5656,14,90005656,90000516,90000509,0,2,3,0,0,2,22,0,1115,5,516,0,459,348,0,0,0,0,0,0,73,2,2017,1,10,3,458427,21,509,694,3,0,1,2,2
178,178,14,1,2,4,25,0,88,88,18,18,11,5654,14,90005654,90000515,90000513,0,3,2,0,0,1,18,0,1115,1,515,0,480,350,0,0,0,0,0,0,73,1,2017,1,10,4,453665,22,513,723,3,0,1,3,1
179,179,15,3,3,2,5,0,117,117,15,10,19,5654,13,90005654,90000513,90000515,0,1,3,1,1,3,19,0,1115,1,513,0,527,411,0,0,0,0,0,0,73,3,2017,1,11,6,453666,22,515,760,1,0,1,1,3
180,180,28,2,0,3,10,0,101,101,16,13,15,5657,14,90005657,90000511,90000512,0,1,11,1,1,2,16,0,1115,2,511,0,261,186,0,0,0,0,0,0,73,2,2017,1,9,3,453942,9,512,504,2,0,1,1,2
181,181,29,1,9,10,47,0,115,115,16,15,13,5657,13,90005657,90000512,90000511,0,2,1,0,0,1,6,0,1115,4,512,0,687,596,0,0,0,0,0,0,73,1,2017,1,27,12,453943,16,511,916,3,0,1,2,1
